Date,Open,High,Low,Close,Adj Close,Volume
2023-09-01,16.58,16.78,15.55,15.68,15.68,55569090
2023-09-04,15.84,16.02,15.63,15.95,15.95,29082750
2023-09-05,15.95,16.75,15.7,16.22,16.22,54590210
2023-09-06,16.24,17.84,16.18,17.84,17.84,72075436
2023-09-07,19.19,19.62,18.52,19.62,19.62,124433543
2023-09-08,20.7,21.58,20.7,21.58,21.58,61082752
2023-09-11,23.68,23.74,22.22,23.74,23.74,282015669
2023-09-12,24.42,25.58,23.74,24.58,24.58,285611606
2023-09-13,24.12,24.85,23.48,24.75,24.75,256193253
2023-09-14,23.94,24.3,23.26,23.84,23.84,198592517
2023-09-15,23.41,26.22,22.8,26.22,26.22,291340179
2023-09-18,25.01,25.22,23.6,23.85,23.85,244855989
2023-09-19,23.46,23.93,22.34,22.59,22.59,188789496
2023-09-20,22.05,22.98,21.17,21.8,21.8,208764512
2023-09-21,21.57,22.2,21.41,21.93,21.93,145624281
2023-09-22,21.66,22.35,20.88,21.88,21.88,167707015
2023-09-25,21.7,24.0,21.7,22.76,22.76,249044547
2023-09-26,22.08,24.78,21.4,23.71,23.71,243211228
2023-09-27,23.24,23.76,22.85,23.3,23.3,130819978
2023-09-28,23.47,24.5,22.03,23.5,23.5,159923798
2023-10-09,22.8,23.89,22.6,22.79,22.79,124726142
2023-10-10,22.5,24.99,22.5,23.87,23.87,197832293
2023-10-11,24.37,26.26,24.37,26.26,26.26,72801000
2023-10-12,28.89,28.89,24.0,25.1,25.1,246997949
2023-10-13,25.5,27.25,24.9,26.71,26.71,218943804
2023-10-16,26.05,26.39,25.5,25.59,25.59,126154063
2023-10-17,24.8,27.57,24.65,26.68,26.68,174990382
2023-10-18,28.0,28.6,25.73,26.51,26.51,176011794
2023-10-19,26.32,28.5,26.32,27.05,27.05,197367710
2023-10-20,26.0,26.07,24.35,24.35,24.35,98771021
2023-10-23,22.5,23.13,21.92,21.92,21.92,154545194
2023-10-24,21.83,23.23,21.5,22.27,22.27,136369228
2023-10-25,22.3,22.8,21.45,22.36,22.36,150577198
2023-10-26,21.77,22.8,21.32,21.54,21.54,126044545
2023-10-27,22.5,23.69,21.91,23.69,23.69,169554694
2023-10-30,23.69,23.88,22.53,23.33,23.33,164630195
2023-10-31,22.97,24.15,22.1,23.95,23.95,176362677
2023-11-01,23.36,23.39,22.35,22.47,22.47,105740094
2023-11-02,22.45,23.09,21.81,22.24,22.24,88552225
2023-11-03,22.09,22.55,21.66,22.3,22.3,79458672
2023-11-06,22.38,22.98,22.09,22.68,22.68,103560095
2023-11-07,23.1,24.29,22.8,23.66,23.66,180058793
2023-11-08,23.41,24.93,23.4,24.51,24.51,176291450
2023-11-09,24.18,25.52,23.77,24.23,24.23,168007232
2023-11-10,23.55,23.68,22.38,22.5,22.5,128392613
2023-11-13,23.52,23.95,23.03,23.15,23.15,118218864
2023-11-14,22.73,24.3,22.71,23.98,23.98,132170277
2023-11-15,23.76,23.87,23.19,23.37,23.37,97112231
2023-11-16,23.08,25.1,22.8,24.53,24.53,185110486
2023-11-17,24.28,24.59,23.7,23.97,23.97,108282560
2023-11-20,23.81,24.38,23.6,23.86,23.86,78759849
2023-11-21,23.73,24.33,23.14,23.19,23.19,82534623
2023-11-22,22.8,23.48,22.32,22.37,22.37,75438378
2023-11-23,22.25,22.99,22.09,22.73,22.73,58225683
2023-11-24,22.52,23.77,22.33,23.41,23.41,110917078
2023-11-27,23.07,25.63,22.94,25.31,25.31,201074246
2023-11-28,24.39,24.47,23.51,23.7,23.7,139510015
2023-11-29,23.33,23.93,23.25,23.32,23.32,73946498
