序号,代码,名称,相关链接,最新价,涨跌幅,涨跌额,成交量(手),成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率(动态),市净率,日期
1,688197,首药控股-U,股吧 资金流 数据,51.89,20.00%,8.65,2.26万,1.15亿,13.62%,51.89,46.00,46.00,43.24,4.97,4.13%,-41.98,7.55,2024-03-14
2,688293,奥浦迈,股吧 资金流 数据,44.67,15.22%,5.90,3.88万,1.68亿,10.19%,45.30,41.35,41.35,38.77,3.52,4.97%,94.87,2.38,2024-03-14
3,688373,盟科药业-U,股吧 资金流 数据,5.89,12.19%,0.64,25.70万,1.50亿,14.67%,6.26,5.49,5.62,5.25,3.21,7.44%,-9.23,4.61,2024-03-14
4,688690,纳微科技,股吧 资金流 数据,23.76,10.77%,2.31,16.19万,3.78亿,10.63%,24.48,22.20,22.60,21.45,3.57,7.92%,138.61,5.63,2024-03-14
5,603389,亚振家居,股吧 资金流 数据,5.04,10.04%,0.46,19.72万,9321.67万,13.97%,5.04,4.40,4.54,4.58,0.98,7.50%,-13.57,3.06,2024-03-14
6,688192,迪哲医药-U,股吧 资金流 数据,43.22,10.03%,3.94,6.97万,3.08亿,8.91%,46.00,42.50,43.00,39.28,3.27,5.66%,-15.99,21.44,2024-03-14
7,600246,万通发展,股吧 资金流 数据,7.68,10.03%,0.70,77.35万,5.67亿,11.03%,7.68,6.91,6.91,6.98,2.01,3.89%,-67.71,2.61,2024-03-14
8,603356,华菱精工,股吧 资金流 数据,15.47,10.03%,1.41,16.87万,2.58亿,14.01%,15.47,13.50,14.02,14.06,3.98,12.66%,-37.91,2.79,2024-03-14
9,603127,昭衍新药,股吧 资金流 数据,19.98,10.02%,1.82,9.55万,1.91亿,0.00%,19.98,19.98,19.98,18.16,0.80,1.52%,34.30,1.82,2024-03-14
10,603266,天龙股份,股吧 资金流 数据,24.16,10.02%,2.20,34.71万,8.12亿,12.11%,24.16,21.50,21.74,21.96,3.02,17.45%,41.48,3.40,2024-03-14
11,603219,富佳股份,股吧 资金流 数据,13.52,10.01%,1.23,11.00万,1.41亿,10.90%,13.52,12.18,12.24,12.29,2.80,7.08%,29.22,4.96,2024-03-14
12,603095,越剑智能,股吧 资金流 数据,16.93,10.01%,1.54,6.26万,1.05亿,9.94%,16.93,15.40,15.40,15.39,1.93,3.39%,34.68,1.25,2024-03-14
13,603580,艾艾精工,股吧 资金流 数据,20.25,9.99%,1.84,15.83万,3.16亿,8.42%,20.25,18.70,20.25,18.41,0.98,12.12%,524.96,6.00,2024-03-14
14,603011,合锻智能,股吧 资金流 数据,8.37,9.99%,0.76,56.21万,4.66亿,8.94%,8.37,7.69,7.77,7.61,1.22,11.37%,41.89,1.83,2024-03-14
15,603499,翔港科技,股吧 资金流 数据,16.41,9.99%,1.49,4.04万,6447.46万,10.12%,16.41,14.90,14.99,14.92,0.51,2.01%,295.52,5.77,2024-03-14
16,603879,永悦科技,股吧 资金流 数据,6.50,9.98%,0.59,61.71万,4.00亿,5.25%,6.50,6.19,6.50,5.91,1.71,17.17%,-57.33,5.00,2024-03-14
17,605580,恒盛能源,股吧 资金流 数据,10.47,9.98%,0.95,11.11万,1.11亿,11.34%,10.47,9.39,9.58,9.52,2.57,15.53%,22.06,3.39,2024-03-14
18,603963,大理药业,股吧 资金流 数据,9.92,9.98%,0.90,20.50万,2.02亿,4.88%,9.92,9.48,9.92,9.02,1.74,9.33%,-106.22,5.65,2024-03-14
19,600241,时代万恒,股吧 资金流 数据,7.50,9.97%,0.68,17.70万,1.27亿,11.58%,7.50,6.71,6.79,6.82,1.53,6.01%,37.26,1.98,2024-03-14
20,600178,东安动力,股吧 资金流 数据,13.79,9.97%,1.25,109.15万,14.25亿,10.29%,13.79,12.50,12.90,12.54,2.69,23.62%,164.18,2.58,2024-03-14
